news_source,rating,rating_num,type,agree,disagree,perc_agree,url_a,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,url_b,name,location,timezone,country,language,bundle,wait,no_adguard
Portland Press Herald,center,3,News Media,161,245,0.396551724137931,https://www.allsides.com/news-source/portland-press-herarld,0,0,0,1,Medium,pressherald,https://en.wikipedia.org/wiki/Portland_Press_Herald,https://www.facebook.com/pressherald/,PressHerald,https://www.pressherald.com/,Portland Press Herald,Portland,America/New_York,US,en,maine,,
Raw Story,left,1,News Media,491,297,0.623096446700508,https://www.allsides.com/news-source/raw-story,checked,0,0,0,,rawstory,https://en.wikipedia.org/wiki/The_Raw_Story,https://www.facebook.com/TheRawStory/,RawStory,https://www.rawstory.com/,Raw Story,Washington,America/New_York,US,en,us-left-wing,,
RealClearPolitics,center,3,News Media,2787,2415,0.535755478662053,https://www.allsides.com/news-source/real-clear-politics,0,0,0,0,,realclearnews,https://en.wikipedia.org/wiki/RealClearPolitics,https://www.facebook.com/realclearpolitics/,RealClearNews,https://www.realclearpolitics.com/,Real Clear Politics,Washington,America/New_York,US,en,,,
Reason,right-center,4,News Media,5258,3529,0.598383976328667,https://www.allsides.com/news-source/reason,0,0,0,1,Low or Initial Rating,reason,https://en.wikipedia.org/wiki/Reason.com,https://facebook.com/Reason.Magazine,reason,https://reason.com/,Reason,Washington,America/New_York,US,en,us-right-wing,,
Reuters,center,3,News Media,6834,4515,0.602167591858314,https://www.allsides.com/news-source/reuters,0,0,0,1,Low or Initial Rating,reuters,https://en.wikipedia.org/wiki/Reuters,https://www.facebook.com/Reuters/,Reuters,https://www.reuters.com/,Reuters,London,Europe/London,GB,en,,,
RollingStone.com,left,1,News Media,1344,364,0.786885245901639,https://www.allsides.com/news-source/rolling-stone,0,0,0,0,,rollingstone,https://en.wikipedia.org/wiki/Rolling_Stone,,rollingstone,https://www.rollingstone.com/,Rolling Stone,New York City,America/New_York,US,en,entertainment,,
Salon,left,1,News Media,10912,4980,0.686634784797382,https://www.allsides.com/news-source/salon,0,0,0,1,Medium,salon,https://en.wikipedia.org/wiki/Salon_(website),https://www.facebook.com/salon/,Salon,https://www.salon.com/,Salon,New York City,America/New_York,US,en,us-left-wing,,
San Jose Mercury News,left-center,2,News Media,333,362,0.479136690647482,https://www.allsides.com/news-source/san-jose-mercury-news,0,0,0,0,Low or Initial Rating,mercnews,https://en.wikipedia.org/wiki/The_Mercury_News,https://www.facebook.com/mercurynews,mercnews,https://www.mercurynews.com/,Mercury News,San Jose,America/Los_Angeles,US,en,bay-area|california,,
Slate,left,1,News Media,3325,2384,0.58241373270275,https://www.allsides.com/news-source/slate,1,0,1,1,Low or Initial Rating,slate,https://en.wikipedia.org/wiki/Slate_(magazine),https://www.facebook.com/Slate/,Slate,https://slate.com/,Slate,New York City,America/New_York,US,en,us-left-wing,,
Spokesman Review,left-center,2,News Media,164,181,0.47536231884058,https://www.allsides.com/news-source/spokesman-review,0,0,0,1,Low or Initial Rating,spokesmanreview,,https://www.facebook.com/spokesmanreview/,SpokesmanReview,https://www.spokesman.com/,Spokesman-Review,Spokane,America/Los_Angeles,US,en,washington,,
TechCrunch,center,3,News Media,329,199,0.623106060606061,https://www.allsides.com/news-source/techcrunch-media-bias,0,0,0,0,Low or Initial Rating,techcrunch,https://en.wikipedia.org/wiki/TechCrunch,https://www.facebook.com/techcrunch/,TechCrunch,https://techcrunch.com/,TechCrunch,San Francisco,America/Los_Angeles,US,en,tech,,
Test Source,center,3,News Media,112,123,0.476595744680851,https://www.allsides.com/news-source/test-source,checked,0,0,0,,foxnews,https://en.wikipedia.org/wiki/Fox_News,https://www.facebook.com/FoxNews/,FoxNews,https://www.foxnews.com/,Fox News,New York City,America/New_York,US,en,us-national|us-right-wing,,
The Atlantic,left-center,2,News Media,4533,2681,0.62836151926809,https://www.allsides.com/news-source/atlantic,0,0,0,0,,theatlantic,https://en.wikipedia.org/wiki/The_Atlantic,https://www.facebook.com/TheAtlantic/,TheAtlantic,https://www.theatlantic.com/,Atlantic,Washington,America/New_York,US,en,,,
The Boston Globe,left-center,2,News Media,1428,1090,0.567116759332804,https://www.allsides.com/news-source/boston-globe,0,0,0,1,High,bostonglobe,https://en.wikipedia.org/wiki/The_Boston_Globe,https://www.facebook.com/globe,BostonGlobe,https://www.bostonglobe.com/,Boston Globe,Boston,America/New_York,US,en,massachusetts,,
The Daily Wire,right,5,News Media,2719,1344,0.669209943391583,https://www.allsides.com/news-source/daily-wire,0,0,0,1,Medium,realdailywire,https://en.wikipedia.org/wiki/The_Daily_Wire,https://www.facebook.com/DailyWire/,realDailyWire,https://www.dailywire.com/,Daily Wire,Nashville,America/New_York,US,en,us-right-wing,,
The Dallas Morning News,center,3,News Media,74,51,0.592,https://www.allsides.com/news-source/dallas-morning-news,0,0,0,1,Low or Initial Rating,dallasnews,https://en.wikipedia.org/wiki/The_Dallas_Morning_News,https://www.facebook.com/dallasmorningnews,dallasnews,https://www.dallasnews.com/,Dallas Morning News,Dallas,America/Chicago,US,en,texas,,
The Economist,left-center,2,News Media,1612,3004,0.349220103986135,https://www.allsides.com/news-source/economist,0,0,1,1,,theeconomist,https://en.wikipedia.org/wiki/The_Economist,https://www.facebook.com/TheEconomist,TheEconomist,https://www.economist.com/,Economist,London,Europe/London,GB,en,,,
The Gateway Pundit,right,5,News Media,458,335,0.577553593947037,https://www.allsides.com/news-source/gateway-pundit,0,0,0,1,Low or Initial Rating,gatewaypundit,https://en.wikipedia.org/wiki/The_Gateway_Pundit,https://www.facebook.com/gatewaypundit,gatewaypundit,https://www.thegatewaypundit.com/,Gateway Pundit,St. Louis,America/Chicago,US,en,us-right-wing,,
The Guardian,left-center,2,News Media,6067,3885,0.609626205787781,https://www.allsides.com/news-source/guardian,0,0,0,1,Medium,guardian,https://en.wikipedia.org/wiki/TheGuardian.com - https://en.wikipedia.org/wiki/The_Guardian,https://www.facebook.com/theguardian/,guardian,https://theguardian.com/uk,The Guardian,London,Europe/London,GB,en,,,
The Hill,center,3,News Media,7444,9180,0.447786333012512,https://www.allsides.com/news-source/hill-media-bias,0,0,0,1,Low or Initial Rating,thehill,https://en.wikipedia.org/wiki/The_Hill_(newspaper),https://www.facebook.com/TheHill,thehill,https://thehill.com/,The Hill,Washington,America/New_York,US,en,capitol-hill,,
The Intercept,left,1,News Media,1213,633,0.657096424702059,https://www.allsides.com/news-source/intercept,0,0,0,1,Low or Initial Rating,theintercept,https://en.wikipedia.org/wiki/The_Intercept,https://www.facebook.com/theinterceptflm,theintercept,https://theintercept.com/,Intercept,New York City,America/New_York,US,en,us-left-wing,,
